,time,open,high,low,close,tick_volume,spread,real_volume,time_num
0,2024-01-02 01:00:00,2062.91,2066.54,2062.8,2063.66,4278,4,0,0.0
1,2024-01-02 02:00:00,2063.68,2065.94,2062.17,2065.45,4807,4,0,1.0
2,2024-01-02 03:00:00,2065.43,2069.97,2064.88,2066.53,9827,4,0,2.0
3,2024-01-02 04:00:00,2066.5,2068.44,2063.89,2067.83,6681,20,0,3.0
4,2024-01-02 05:00:00,2067.83,2070.45,2066.38,2069.62,5022,20,0,4.0
5,2024-01-02 06:00:00,2069.65,2070.74,2068.82,2069.62,3417,4,0,5.0
6,2024-01-02 07:00:00,2069.67,2074.95,2069.41,2074.34,7360,20,0,6.0
7,2024-01-02 08:00:00,2074.36,2076.83,2072.85,2074.04,13041,19,0,7.0
8,2024-01-02 09:00:00,2074.01,2076.51,2073.03,2073.27,18481,16,0,8.0
9,2024-01-02 10:00:00,2073.27,2074.6,2071.7,2073.31,20862,16,0,9.0
10,2024-01-02 11:00:00,2073.3,2078.99,2073.17,2077.14,18695,16,0,10.0
11,2024-01-02 12:00:00,2077.14,2077.87,2073.35,2075.98,16435,16,0,11.0
12,2024-01-02 13:00:00,2075.98,2076.27,2068.18,2069.33,22242,16,0,12.0
13,2024-01-02 14:00:00,2069.13,2069.52,2064.93,2067.91,21544,16,0,13.0
14,2024-01-02 15:00:00,2067.9,2071.18,2064.76,2066.37,33697,16,0,14.0
15,2024-01-02 16:00:00,2066.38,2070.52,2062.04,2070.29,43702,16,0,15.0
16,2024-01-02 17:00:00,2070.29,2070.79,2055.82,2059.31,45855,16,0,16.0
17,2024-01-02 18:00:00,2059.32,2067.7,2059.02,2066.06,29698,16,0,17.0
18,2024-01-02 19:00:00,2066.05,2067.03,2061.68,2062.63,16878,18,0,18.0
19,2024-01-02 20:00:00,2062.66,2065.02,2060.52,2061.13,13980,18,0,19.0
20,2024-01-02 21:00:00,2061.23,2062.23,2060.31,2060.87,8512,18,0,20.0
21,2024-01-02 22:00:00,2060.88,2061.69,2057.83,2058.14,9612,18,0,21.0
22,2024-01-02 23:00:00,2058.15,2059.27,2057.91,2058.91,2173,4,0,22.0
23,2024-01-03 01:00:00,2059.16,2060.08,2058.63,2059.54,2946,4,0,24.0
24,2024-01-03 02:00:00,2059.54,2062.18,2059.2,2060.02,4489,4,0,25.0
25,2024-01-03 03:00:00,2060.05,2062.61,2059.46,2062.42,6971,20,0,26.0
26,2024-01-03 04:00:00,2062.4,2065.18,2061.47,2064.71,5759,20,0,27.0
27,2024-01-03 05:00:00,2064.69,2065.64,2063.16,2065.1,4037,4,0,28.0
28,2024-01-03 06:00:00,2065.05,2065.6,2064.32,2064.77,2110,4,0,29.0
29,2024-01-03 07:00:00,2064.74,2066.05,2063.38,2064.05,4905,4,0,30.0
30,2024-01-03 08:00:00,2064.05,2065.46,2063.31,2064.34,6903,7,0,31.0
31,2024-01-03 09:00:00,2064.31,2064.43,2060.79,2062.83,17042,16,0,32.0
32,2024-01-03 10:00:00,2062.81,2064.43,2058.84,2060.03,20516,16,0,33.0
33,2024-01-03 11:00:00,2060.05,2060.66,2054.2,2056.8,19782,16,0,34.0
34,2024-01-03 12:00:00,2056.81,2057.25,2052.54,2054.87,17722,16,0,35.0
35,2024-01-03 13:00:00,2054.87,2055.71,2046.6,2047.7,21043,16,0,36.0
36,2024-01-03 14:00:00,2047.69,2048.46,2041.69,2045.71,30731,16,0,37.0
37,2024-01-03 15:00:00,2045.71,2048.1,2038.6,2041.0,36279,16,0,38.0
38,2024-01-03 16:00:00,2041.01,2042.43,2031.66,2037.75,44381,16,0,39.0
39,2024-01-03 17:00:00,2037.59,2048.8,2031.75,2032.56,60512,16,0,40.0
40,2024-01-03 18:00:00,2032.58,2036.13,2031.2,2032.37,36624,16,0,41.0
41,2024-01-03 19:00:00,2032.36,2033.86,2030.49,2033.33,22892,18,0,42.0
42,2024-01-03 20:00:00,2033.23,2036.38,2032.79,2035.83,16007,18,0,43.0
43,2024-01-03 21:00:00,2035.82,2042.43,2030.49,2036.6,37417,18,0,44.0
44,2024-01-03 22:00:00,2036.62,2042.38,2036.35,2040.84,20470,18,0,45.0
45,2024-01-03 23:00:00,2040.85,2041.8,2040.2,2041.27,2378,5,0,46.0
46,2024-01-04 01:00:00,2041.88,2043.95,2041.55,2042.94,3126,0,0,48.0
47,2024-01-04 02:00:00,2042.92,2043.15,2041.54,2042.1,3382,4,0,49.0
48,2024-01-04 03:00:00,2042.12,2043.32,2039.98,2042.18,7143,4,0,50.0
49,2024-01-04 04:00:00,2042.16,2044.81,2042.16,2044.6,6161,20,0,51.0
50,2024-01-04 05:00:00,2044.6,2046.92,2044.02,2044.53,4629,20,0,52.0
51,2024-01-04 06:00:00,2044.63,2044.73,2042.3,2043.01,4936,4,0,53.0
52,2024-01-04 07:00:00,2043.12,2044.38,2042.29,2043.64,5035,20,0,54.0
53,2024-01-04 08:00:00,2043.61,2048.69,2043.5,2047.16,14219,19,0,55.0
54,2024-01-04 09:00:00,2047.15,2049.61,2046.39,2047.67,19874,16,0,56.0
55,2024-01-04 10:00:00,2047.67,2048.72,2045.35,2046.62,19886,16,0,57.0
56,2024-01-04 11:00:00,2046.62,2051.04,2046.19,2048.0,20038,16,0,58.0
57,2024-01-04 12:00:00,2047.88,2050.82,2046.55,2047.87,16277,16,0,59.0
58,2024-01-04 13:00:00,2047.85,2048.5,2044.82,2045.22,13488,16,0,60.0
59,2024-01-04 14:00:00,2045.16,2046.28,2043.2,2045.99,14408,16,0,61.0
60,2024-01-04 15:00:00,2045.97,2047.37,2038.68,2040.1,33785,16,0,62.0
61,2024-01-04 16:00:00,2040.09,2042.66,2036.1,2039.22,32202,16,0,63.0
62,2024-01-04 17:00:00,2039.22,2047.73,2039.0,2045.08,36190,16,0,64.0
63,2024-01-04 18:00:00,2045.11,2046.84,2043.96,2044.71,23153,16,0,65.0
64,2024-01-04 19:00:00,2044.7,2045.07,2040.75,2043.23,18128,18,0,66.0
65,2024-01-04 20:00:00,2043.24,2044.11,2041.4,2043.12,11819,18,0,67.0
66,2024-01-04 21:00:00,2043.13,2044.92,2042.33,2044.33,7322,18,0,68.0
67,2024-01-04 22:00:00,2044.29,2044.84,2042.97,2043.03,7510,7,0,69.0
68,2024-01-04 23:00:00,2042.97,2044.32,2042.97,2043.28,1476,4,0,70.0
69,2024-01-05 01:00:00,2043.81,2044.8,2042.77,2044.18,3224,4,0,72.0
70,2024-01-05 02:00:00,2044.2,2044.74,2043.26,2044.28,3183,20,0,73.0
71,2024-01-05 03:00:00,2044.3,2048.31,2043.97,2046.08,8774,20,0,74.0
72,2024-01-05 04:00:00,2046.1,2047.86,2045.63,2046.08,4169,20,0,75.0
73,2024-01-05 05:00:00,2045.98,2046.45,2044.76,2045.3,4392,4,0,76.0
74,2024-01-05 06:00:00,2045.32,2046.41,2044.37,2044.58,2610,4,0,77.0
75,2024-01-05 07:00:00,2044.58,2045.26,2043.01,2044.44,4156,4,0,78.0
76,2024-01-05 08:00:00,2044.44,2045.17,2040.74,2042.47,10569,19,0,79.0
